"Date","Price","Open","High","Low","Vol","Change"
"12/17/2024","114,860.69","116,308.02","117,039.18","113,688.55","548.57M","-1.13%"
"12/16/2024","116,169.41","115,433.26","116,681.59","115,346.00","491.30M","1.63%"
"12/13/2024","114,301.80","114,627.54","115,172.45","112,609.26","479.75M","0.11%"
"12/12/2024","114,180.51","111,308.66","114,408.62","111,308.66","636.22M","3.04%"
"12/11/2024","110,810.22","109,455.51","111,012.02","109,416.32","509.28M","1.76%"
"12/10/2024","108,896.65","110,738.04","111,759.58","107,711.40","669.93M","-0.98%"
"12/09/2024","109,970.39","109,094.07","110,358.85","107,625.92","719.55M","0.84%"
"12/06/2024","109,053.95","108,864.72","109,478.09","108,550.87","658.76M","0.75%"
"12/05/2024","108,238.97","105,661.16","108,345.99","105,448.06","721.60M","2.98%"
"12/04/2024","105,104.34","105,080.29","105,473.56","104,315.41","697.65M","0.52%"
"12/03/2024","104,559.07","103,520.00","104,680.89","102,825.60","756.59M","1.24%"
"12/02/2024","103,274.95","101,921.21","103,386.47","101,921.21","695.79M","1.89%"
"11/29/2024","101,357.32","100,393.16","101,496.18","99,822.62","454.63M","1.27%"
"11/28/2024","100,082.77","100,059.29","100,540.29","99,354.24","555.94M","0.82%"
"11/27/2024","99,269.25","97,425.06","99,549.81","97,188.28","495.79M","4.96%"
"11/26/2024","94,574.16","98,049.38","99,819.59","94,180.60","517.94M","-3.57%"
"11/25/2024","98,079.78","97,851.82","99,317.48","97,137.64","281.10M","0.29%"
"11/22/2024","97,798.23","97,835.39","99,623.04","97,471.12","515.07M","0.48%"
"11/21/2024","97,328.40","95,674.50","97,437.15","95,300.21","323.53M","1.86%"
"11/20/2024","95,546.46","96,055.66","96,711.33","95,311.97","565.38M","-0.32%"
"11/19/2024","95,856.67","95,241.64","96,036.49","95,212.63","377.89M","0.91%"
"11/18/2024","94,995.67","95,060.85","95,307.92","94,620.45","277.31M","0.24%"
"11/15/2024","94,763.64","94,431.19","95,278.27","94,431.19","283.27M","0.61%"
"11/14/2024","94,191.89","93,672.72","94,289.97","93,672.72","255.61M","0.90%"
"11/13/2024","93,355.43","93,362.53","93,803.59","92,943.08","295.67M","0.14%"
"11/12/2024","93,224.56","93,799.93","93,871.62","92,893.11","408.48M","-0.45%"
"11/11/2024","93,648.33","93,485.41","94,020.03","93,318.91","468.86M","0.38%"
"11/08/2024","93,291.68","92,623.84","93,514.56","92,566.49","362.83M","0.83%"
"11/07/2024","92,520.49","92,259.48","92,694.54","92,185.69","322.63M","0.54%"
"11/06/2024","92,021.44","92,509.76","92,966.95","91,891.47","376.32M","-0.31%"
"11/05/2024","92,304.32","92,510.48","92,514.30","91,536.09","289.41M","0.40%"
"11/04/2024","91,938.01","91,454.30","92,159.08","91,395.35","311.38M","1.19%"
"11/01/2024","90,859.85","89,292.74","91,133.28","88,852.68","230.03M","2.13%"
"10/31/2024","88,966.77","90,459.17","90,700.23","89,063.34","287.74M","-1.46%"
"10/30/2024","90,286.57","91,375.53","91,872.63","90,003.31","240.63M","-0.64%"
"10/29/2024","90,864.09","90,509.48","91,358.15","90,449.42","256.87M","0.74%"
"10/28/2024","90,195.52","90,633.65","91,054.84","89,732.73","267.24M","0.22%"
"10/25/2024","89,993.97","89,373.82","90,593.61","89,373.82","365.94M","1.18%"
"10/24/2024","88,945.99","87,553.63","89,126.16","87,382.05","458.05M","2.01%"
"10/23/2024","87,194.54","86,667.99","87,309.23","86,284.25","424.37M","0.84%"
"10/22/2024","86,466.58","86,294.70","86,846.04","86,294.70","415.55M","0.48%"
"10/21/2024","86,057.52","85,353.34","86,172.79","85,349.33","240.44M","0.95%"
"10/18/2024","85,250.09","85,638.58","85,773.83","85,120.90","152.92M","-0.39%"
"10/17/2024","85,585.43","86,439.57","86,520.29","85,539.20","219.88M","-0.72%"
"10/16/2024","86,205.66","86,060.69","86,513.46","85,948.05","259.49M","0.43%"
"10/15/2024","85,840.34","85,264.93","85,893.99","84,856.21","251.62M","0.68%"
"10/14/2024","85,261.39","85,596.91","86,105.03","85,156.11","263.52M","-0.26%"
"10/11/2024","85,483.40","85,432.84","85,750.19","84,774.46","295.02M","0.04%"
"10/10/2024","85,453.22","85,743.41","86,013.46","85,425.74","293.94M","-0.25%"
"10/09/2024","85,669.28","85,823.81","86,451.43","85,444.31","349.29M","0.01%"
"10/08/2024","85,663.98","84,905.56","85,824.27","84,897.99","283.71M","0.89%"
"10/07/2024","84,910.30","83,651.99","85,047.81","83,303.55","281.01M","1.65%"
"10/04/2024","83,531.96","82,804.30","83,605.73","82,594.80","173.69M","0.98%"
"10/03/2024","82,721.77","82,076.34","82,958.74","81,981.50","159.63M","0.92%"
"10/02/2024","81,967.01","81,706.43","82,360.29","81,529.45","154.65M","0.20%"
"10/01/2024","81,804.59","81,199.43","81,980.37","81,119.24","191.15M","0.85%"
"09/30/2024","81,114.20","81,271.08","81,321.64","80,352.22","116.76M","-0.22%"
"09/27/2024","81,292.13","81,737.61","81,842.75","81,183.50","153.49M","-0.45%"
"09/26/2024","81,657.97","82,752.07","82,905.73","81,552.66","152.66M","-0.72%"
"09/25/2024","82,247.92","81,643.50","82,331.86","81,524.41","155.31M","0.94%"
"09/24/2024","81,483.64","81,873.63","82,010.10","81,107.39","148.62M","-0.45%"
"09/23/2024","81,850.50","82,113.42","82,463.05","81,548.65","163.00M","-0.27%"
"09/20/2024","82,074.45","81,694.98","82,372.20","81,387.57","243.55M","0.76%"
"09/19/2024","81,459.29","80,802.77","82,003.58","80,680.24","184.89M","1.24%"
"09/18/2024","80,461.34","79,884.41","80,587.44","79,798.75","148.58M","1.22%"
"09/16/2024","79,491.14","79,682.10","79,993.18","79,368.18","","0.20%"
"09/13/2024","79,333.06","79,912.34","80,016.74","79,262.72","191.85M","0.40%"
"09/12/2024","79,017.62","78,843.06","79,217.62","78,577.65","132.75M","0.47%"
"09/11/2024","78,651.80","79,428.49","79,507.18","78,612.17","146.52M","-0.80%"
"09/10/2024","79,286.74","78,776.77","79,335.59","78,642.87","121.34M","0.85%"
"09/09/2024","78,615.00","79,117.78","79,214.28","78,545.69","90.27M","-0.36%"
"09/06/2024","78,897.73","79,009.84","79,254.25","78,917.29","141.87M","0.04%"
"09/05/2024","78,863.34","79,027.52","79,154.30","78,578.02","132.20M","0.02%"
"09/04/2024","78,848.01","78,488.88","78,890.79","78,488.88","146.30M","0.63%"
"09/03/2024","78,356.32","78,566.04","78,644.96","78,250.90","99.48M","0.09%"
"09/02/2024","78,283.30","78,715.16","79,014.69","78,240.37","121.32M","-0.26%"
"08/30/2024","78,488.22","78,552.01","78,914.28","78,439.62","148.55M","0.18%"
"08/29/2024","78,349.66","78,019.51","78,513.86","78,017.36","151.39M","0.46%"
"08/28/2024","77,992.79","78,253.05","78,334.61","77,990.35","150.90M","-0.12%"
"08/27/2024","78,084.24","78,737.23","78,857.62","78,077.83","190.60M","-0.62%"
"08/26/2024","78,571.06","78,907.54","79,160.40","78,553.87","141.27M","-0.29%"
"08/23/2024","78,801.43","78,902.33","79,173.94","78,760.03","197.84M","0.01%"
"08/22/2024","78,793.41","78,442.25","78,996.22","78,442.25","184.56M","0.68%"
"08/21/2024","78,260.86","77,993.20","78,457.37","77,968.74","190.86M","0.66%"
"08/20/2024","77,745.52","77,857.79","77,930.04","77,460.40","114.23M","-0.11%"
"08/19/2024","77,830.34","78,272.12","78,382.05","77,566.62","122.48M","-0.28%"
"08/16/2024","78,045.31","78,197.15","78,619.18","78,041.08","206.70M","-0.08%"
"08/15/2024","78,105.98","77,989.36","78,709.14","77,987.83","169.23M","0.29%"
"08/13/2024","77,877.42","77,966.72","78,275.97","77,817.33","183.96M","-0.13%"
"08/12/2024","77,980.29","78,867.30","78,886.46","77,940.53","141.77M","-0.75%"
"08/09/2024","78,569.59","78,322.33","78,823.14","78,051.08","139.15M","0.89%"
"08/08/2024","77,874.22","77,218.12","77,969.27","77,085.48","192.85M","0.99%"
"08/07/2024","77,114.49","77,344.86","77,800.04","77,086.82","128.80M","-0.10%"
"08/06/2024","77,191.34","77,417.21","77,746.56","77,035.96","149.77M","0.14%"
"08/05/2024","77,084.49","78,303.67","78,330.10","76,943.24","169.49M","-1.46%"
"08/02/2024","78,225.98","77,946.16","78,434.17","77,926.54","203.30M","0.62%"
"08/01/2024","77,740.31","78,101.16","78,241.02","77,595.93","97.02M","-0.19%"
"07/31/2024","77,886.99","78,725.96","79,151.82","77,810.17","112.54M","-0.94%"
"07/30/2024","78,628.81","79,319.20","79,327.05","78,518.23","143.37M","-0.25%"
"07/29/2024","78,827.74","78,023.89","79,055.99","78,016.30","135.18M","1.02%"
"07/26/2024","78,029.51","78,440.36","78,569.89","77,921.48","116.86M","-0.56%"
"07/25/2024","78,469.33","79,568.48","79,776.96","78,330.59","129.01M","-1.17%"
"07/24/2024","79,397.01","79,194.74","79,704.37","79,071.48","102.94M","0.52%"
"07/23/2024","78,987.09","78,700.25","79,585.34","78,634.15","137.60M","0.57%"
"07/22/2024","78,539.19","79,920.23","80,085.63","78,404.76","201.00M","-1.97%"
"07/19/2024","80,117.89","81,921.71","81,939.84","79,812.70","246.33M","-2.10%"
"07/18/2024","81,839.86","81,418.12","81,909.95","81,418.12","238.79M","0.84%"
"07/15/2024","81,155.61","80,743.46","81,428.43","80,743.46","219.58M","1.52%"
"07/12/2024","79,944.10","80,094.69","80,321.69","78,611.68","217.96M","-0.06%"
"07/11/2024","79,992.35","79,884.02","80,114.73","79,708.87","154.10M","0.19%"
"07/10/2024","79,841.56","80,885.06","80,971.96","79,841.32","230.88M","-1.03%"
"07/09/2024","80,672.06","80,752.94","81,087.43","80,530.86","309.34M","0.13%"
"07/08/2024","80,566.21","80,332.79","80,737.71","80,192.31","138.28M","0.44%"
"07/05/2024","80,212.79","80,427.84","80,627.49","80,080.25","211.20M","-0.09%"
"07/04/2024","80,282.80","80,438.84","80,888.86","80,134.89","228.99M","0.06%"
"07/03/2024","80,233.67","79,697.25","80,405.24","79,697.25","280.03M","0.86%"
"07/02/2024","79,552.89","78,978.55","79,740.35","78,978.55","192.74M","0.92%"
"07/01/2024","78,824.33","78,531.93","79,536.23","78,427.80","163.26M","0.48%"
"06/28/2024","78,444.96","78,698.47","78,784.23","78,312.36","206.23M","-0.11%"
"06/27/2024","78,528.25","78,470.34","78,978.60","78,294.23","137.83M","0.32%"
"06/26/2024","78,275.65","77,968.91","78,679.50","77,968.91","218.68M","0.43%"
"06/25/2024","77,940.58","78,297.40","78,541.22","77,908.98","126.98M","-0.37%"
"06/24/2024","78,232.10","79,247.15","79,388.12","78,167.43","148.50M","-0.73%"
"06/21/2024","78,810.49","79,156.52","80,059.87","78,169.03","207.21M","0.01%"
"06/20/2024","78,801.53","76,896.82","78,890.37","76,896.82","211.65M","2.73%"
"06/14/2024","76,706.77","76,555.91","77,310.45","76,103.56","212.58M","0.65%"
"06/13/2024","76,208.16","73,329.80","76,338.15","73,329.80","344.92M","4.69%"
"06/12/2024","72,797.43","72,545.24","73,169.00","72,464.24","106.50M","0.29%"
"06/11/2024","72,589.49","73,779.99","73,866.45","72,476.05","142.11M","-0.91%"
"06/10/2024","73,252.56","73,841.92","73,915.45","72,981.35","89.48M","-0.68%"
"06/07/2024","73,754.02","73,805.95","73,902.79","71,781.96","208.27M","-0.15%"
"06/06/2024","73,862.93","74,276.84","74,593.33","73,768.40","112.74M","-0.48%"
"06/05/2024","74,219.44","74,672.38","74,758.11","74,136.52","","-0.60%"
"06/04/2024","74,666.66","75,657.68","75,669.76","74,592.74","","-1.20%"
"06/03/2024","75,575.26","76,091.42","76,209.97","75,495.38","","-0.40%"
"05/31/2024","75,878.48","75,078.43","75,953.74","74,989.26","","1.34%"
"05/30/2024","74,878.12","74,986.02","75,300.03","74,585.35","","0.06%"
"05/29/2024","74,836.30","75,617.79","75,667.31","74,760.10","","-0.90%"
"05/27/2024","75,517.49","76,089.66","76,187.45","75,485.62","","-0.61%"
"05/24/2024","75,983.04","75,266.61","76,248.76","75,263.06","","1.16%"
"05/23/2024","75,114.47","74,982.16","75,284.74","74,726.07","","0.21%"
"05/22/2024","74,956.67","75,246.33","75,513.90","74,835.49","","-0.33%"
"05/21/2024","75,206.77","75,158.68","75,482.46","74,958.10","","0.16%"
"05/20/2024","75,084.00","75,454.97","75,618.49","74,734.25","","-0.34%"
"05/17/2024","75,342.35","74,981.29","75,401.12","74,947.71","","0.55%"
"05/16/2024","74,930.70","74,744.65","75,029.03","74,450.26","","0.36%"
"05/15/2024","74,663.98","74,771.18","75,115.33","74,440.88","","0.18%"
"05/14/2024","74,531.19","74,022.18","74,575.31","73,977.01","","0.99%"
